id;n3;n2;n4;n117;id_localisation
913;0311213A;Privé sous contrat d'association;Lycée Issec Pigier;;934
914;0311219G;Privé sous contrat d'association;Lycée professionnel Sainte-Marie Saint-Sernin;;934
915;0311262D;Public;L.E.G.T.A. Toulouse Auzeville;;441
916;0311270M;Privé sous contrat d'association;L.E.A.P. La Cadène;;745
917;0311323V;Public;Lycée Joséphine Baker;;934
918;0311324W;Public;Lycée professionnel Gisèle Halimi;;934
919;0311383K;Public;Université Toulouse 2 Jean Jaurès;;934
920;0311514C;Public;École d'économie et de sciences sociales quantitatives - Toulouse School of Economics (TSE);;934
921;0311586F;Public;Lycée Toulouse-Lautrec;;934
922;0311713U;Public;I.U.T de Blagnac;;1101
923;0311810Z;Privé sous contrat d'association;IFSI Croix-Rouge Compétence Occitanie - TOULOUSE;;934
924;0311870P;Public;IFSI CHU de Toulouse;;934
925;0311876W;Privé sous contrat d'association;IFRASS;;934
926;0311877X;Privé sous contrat d'association;IFTS Croix-Rouge Compétence Occitanie;;934
927;0311902Z;Public;Lycée Stéphane Hessel;;934
928;0312020C;Privé enseignement supérieur;CESI Campus de Toulouse (Labège);;745
929;0312061X;Privé sous contrat d'association;Lycée de la photographie - ETPA;;441
930;0312069F;Public;Ecole Nationale de la Météorologie;;934
931;0312093G;Public;Lycée International Victor Hugo;;793
932;0312267W;Public;Lycée Des Arènes;;934
933;0312269Y;Privé enseignement supérieur;ICD International Business School - Campus de Toulouse;;1101
934;0312283N;Privé sous contrat d'association;ERASME;;934
935;0312289V;Public;Lycée Pierre-Paul Riquet;;477
936;0312290W;Public;Lycée Henri Matisse;;1074
937;0312354R;Public;INNOVAPOLE ONDES;;595
938;0312355S;Privé sous contrat d'association;Lycée Ort Maurice Grynfogel;;793
939;0312390E;Public;La Prépa des INP - Groupe INP - Toulouse;;934
940;0312408Z;Privé sous contrat d'association;Lycée Saliège;;191
941;0312421N;Privé enseignement supérieur;ICAM Toulouse;;934
942;0312686B;Public;Lycée Saint-Exupéry;;1101
943;0312745R;Privé hors contrat;SILVYA TERRADE - ESTHER MARIO;;934
944;0312746S;Public;Lycée Marie Louise Dissard Françoise;;1042
945;0312759F;Public;Lycée Joseph Gallieni;;934
946;0312822Z;Public;Lycée polyvalent Charles de Gaulle;;1217
947;0312831J;Privé enseignement supérieur;EPITECH - Campus de Toulouse;;934
948;0312839T;Privé enseignement supérieur;Bachelor IDRAC Business School - Campus de TOULOUSE;;191
949;0312950N;Privé enseignement supérieur;Ecole pour l'informatique et les techniques avancées;;934
950;0313000T;Public;INSTITUT FORM. ERGOTHERAPIE;;934
951;0313001U;Public;IFMEM;;934
952;0313004X;Public;Ecole régionale d'assistants du service social;;934
953;0313057E;Privé sous contrat d'association;Institut de Formation Association Educative pour l'Hospitalisation Privée;;330
954;0313083H;Public;Lycée polyvalent Simone de Beauvoir;;87
955;0313087M;Public;INSTITUT DE FORMATION PEDICURIE PODOLOGIE;;934
956;0313105G;Public;FACULTE DE SANTE UNIVERSITE TOULOUSE 3;;934
957;0313124C;Public;Université Toulouse Capitole;;934
958;0313127F;Public;IFSI du CHU de Toulouse;;373
959;0313218E;Public;Université Toulouse III - Université Toulouse;;934
960;0315550I;Privé enseignement supérieur;IPSA Toulouse;;934
961;0320002D;Public;Lycée Pardailhan;;466
962;0320015T;Public;Lycée Maréchal Lannes;;1078
963;0320023B;Public;Lycée Alain-Fournier;;747
964;0320025D;Public;Lycée D'Artagnan;;95
965;0320030J;Public;Lycée professionnel Clement Ader;;17
966;0320039U;Public;L.E.G.T.A. Beaulieu-Lavacant;;466
967;0320051G;Privé sous contrat d'association;Lycée Oratoire Sainte-Marie;;466
968;0320067Z;Public;Lycée des Métiers - Le Garros;;466
969;0320557G;Public;L.P.A. de Mirande;;747
970;0320598B;Public;IFSI CH Auch;;466
971;0320633P;Privé sous contrat d'association;Campus La Salle St Christophe;;282
972;0320691C;Public;I.U.T de Toulouse - Antenne d'Auch;;466
973;0330003Z;Public;Lycée Grand Air;;813
974;0330018R;Public;Lycée des Métiers Léonard de Vinci;;455
975;0330021U;Public;Lycée Montaigne;;1136
976;0330023W;Public;Lycée Camille Jullian;;1136
977;0330026Z;Public;Lycée Francois Magendie;;1136
978;0330027A;Public;Lycée Francois Mauriac;;1136
979;0330028B;Public;Lycée Gustave Eiffel;;1136
980;0330029C;Public;Lycée Nicolas Bremontier;;1136
981;0330031E;Public;Lycée professionnel Toulouse Lautrec;;1136
982;0330060L;Public;Lycée professionnel Flora Tristan;;555
983;0330069W;Public;Lycée des métiers des soins et des services à la personne La Morlette;;658
984;0330076D;Public;Lycée professionnel Charles Peguy;;374
985;0330082K;Public;Lycée professionnel Sud Gironde;;1129
986;0330088S;Public;Lycée Max Linder;;963
987;0330089T;Public;Lycée Polyvalent Jean Monnet;;963
988;0330119A;Public;Lycée Professionnel Jehan Duperier;;693
989;0330126H;Public;Lycée Victor Louis;;1150
990;0330135T;Public;Lycée Alfred Kastler;;1150
991;0330142A;Public;Lycée professionnel Tregey Rive De Garonne;;1136
992;0330159U;Public;Centre de Ressources, d'Expertise et de Performance Sportive de Bordeaux (CREPS);;1150
993;0330192E;Public;Sciences Po Bordeaux - Institut d'études politiques;;596
994;0330199M;Public;ENSAP - Ecole Nationale Supérieure Architecture Paysage de Bordeaux;;1150
995;0330201P;Public;ENSAM - campus de Bordeaux;;1136
996;0330203S;Public;CPBx (Bordeaux Sciences Agro.);;1150
997;0330207W;Privé sous contrat d'association;I.R.T.S. NOUVELLE - AQUITAINE;;1150
998;0331420P;Public;IUT Bordeaux Montaigne;;1136
999;0331424U;Public;Lycée agricole de Bordeaux Blanquefort;;455
1000;0331460H;Public;Lycée professionnel Les Chartrons;;1136
1001;0331493U;Privé sous contrat d'association;Lycée Saint-Genès;;1136
1002;0331495W;Privé sous contrat d'association;Lycée Assomption Sainte Clotilde;;1136
1003;0331498Z;Privé sous contrat d'association;Lycée Le Mirail;;1136
1004;0331501C;Privé sous contrat d'association;Lycée Sainte-Marie Bastide;;1136
1005;0331502D;Privé sous contrat d'association;Lycée St Joseph De Tivoli;;1136
1006;0331503E;Privé sous contrat d'association;Lycée Sainte Marie Grand Lebrun;;1136
1007;0331556M;Privé sous contrat d'association;Lycée Ste Famille - Saintonge;;1136
1008;0331557N;Privé hors contrat;Ecole privée d'esthétique Françoise B-Groupe Silvya Terrade;;1136
1009;0331590Z;Privé sous contrat d'association;Lycée St Vincent De Paul;;1136
1010;0331591A;Privé sous contrat d'association;Lycée Bel Orme;;1136
1011;0331683A;Public;Lycée Agricole et Forestier de Bazas;;25
1012;0331760J;Public;Lycée Fernand Daguin;;957
1013;0331766R;Public;Université Bordeaux Montaigne;;596
1014;0331863W;Public;Lycée agricole de Libourne Montagne;;359
1015;0331877L;Public;Ecole supérieure des Beaux-Arts de Bordeaux;;1136
1016;0331882S;Public;Lycée professionnel Emile Combes;;830
1017;0332081H;Public;Lycée Odilon Redon;;880
1018;0332192D;Public;Lycée Hotel.Tourisme Gascogne;;1150
1019;0332194F;Public;Lycée des métiers Condorcet Arcachon;;813
1020;0332282B;Privé sous contrat d'association;ISNAB;;737
1021;0332289J;Public;IFSI CHU de Bordeaux;;596
1022;0332292M;Public;IFMEM CHU BORDEAUX;;596
1023;0332293N;Privé enseignement supérieur;IFSI Croix Rouge Française Bègles;;830
1024;0332297T;Public;IFSI CH de Libourne;;963
1025;0332298U;Public;Institut de Formation en Pédicurie Podologie CHU BORDEAUX;;1136
1026;0332344U;Public;Lycée professionnel Henri Brulle;;963
1027;0332345V;Public;Lycée professionnel Philadelphe De Gerde;;596
1028;0332380H;Public;LPA Camille Godard;;1056
1029;0332425G;Privé enseignement supérieur;IFSI Florence Nightingale;;1150
1030;0332434S;Public;Institut de Formation en Ergothérapie CHU BORDEAUX;;1136
1031;0332436U;Public;IFSI Centre hospitalier Charles Perrens Bordeaux;;1136
1032;0332441Z;Public;Lycée des métiers Jacques Brel;;665
1033;0332445D;Public;Lycée des métiers de l'automobile Beau de Rochas;;1136
1034;0332468D;Public;Lycée St Louis;;1136
1035;0332473J;Privé sous contrat d'association;MAISON FAMILIALE RURALE de VAYRES;;532
1036;0332722E;Public;Lycée Pape Clement;;596
1037;0332744D;Public;Lycée Elie Faure;;665
1038;0332747G;Public;Lycée Jean Condorcet;;1136
1039;0332781U;Public;Lycée professionnel De L Estuaire;;358
1040;0332818J;Privé enseignement supérieur;INSEEC Bordeaux;;1136
1041;0332832Z;Public;Lycée Les Iris;;665
1042;0332931G;Public;CPBx (ENSEGID);;1150
1043;0332984P;Privé enseignement supérieur;CESI Campus de Bordeaux;;1136
1044;0332992Y;Privé enseignement supérieur;IFSI CFPBNA;;1136
1045;0333201A;Privé enseignement supérieur;IDRAC Business School - Campus de Bordeaux;;1136
1046;0333203C;Privé enseignement supérieur;INFN - Institut National des Formations Notariales - Bordeaux;;1136
1047;0333212M;Privé enseignement supérieur;EPITECH - Campus de Bordeaux;;925
1048;0333234L;Public;Université de Bordeaux - Bordeaux Métropole - Site Carreire;;1136
1049;0333236N;Public;CPBx (ENSC);;1150
1050;0333237P;Public;CPBx (ENSTBB);;1136
1051;0333238R;Public;CPBx (ENSMAC);;596
1052;0333239S;Public;CPBx (ENSEIRB-MATMECA);;1150
1053;0333269Z;Public;La Prépa des INP - Groupe INP - Bordeaux;;1150
1054;0333273D;Public;Lycée polyvalent Vaclav Havel;;830
1055;0333298F;Public;Université de Bordeaux - Bordeaux Métropole;;1150
1056;0333316A;Public;Université de Bordeaux - Bordeaux Métropole - Site Victoire;;1136
1057;0333322G;Public;Université de Bordeaux - Bordeaux Métropole - Site de Pessac;;596
1058;0333326L;Privé enseignement supérieur;KEDGE BUSINESS SCHOOL - Site de Talence;;1150
1059;0333357V;Public;I.U.T de Bordeaux - Site de Gradignan;;1049
1060;0333358W;Public;I.U.T. de Bordeaux - Site de Bordeaux-Bastide;;1136
1061;0333363B;Privé enseignement supérieur;ESSCA School of Management - Bordeaux;;1136
1062;0333364C;Privé enseignement supérieur;Ferrandi-Bordeaux;;1136
1063;0333390F;Privé enseignement supérieur;ESME Sudria Bordeaux;;1136
1064;0333415H;Privé enseignement supérieur;ELISA Aerospace Bordeaux;;1016
1065;0333454A;Public;CPBx (ENSPIMA);;1150
1066;0333479C;Privé enseignement supérieur;EFREI Bordeaux;;1136
1067;0333481E;Privé sous contrat d'association;YNCREA - BÈGLES;;1136
1068;0333557M;Privé enseignement supérieur;IFSI LESPARRE CROIX ROUGE FRANCAISE;;1250
1069;0333558N;Public;IFSI du CHU de Bordeaux - antenne d'Arcachon;;315
1070;0333570B;Privé enseignement supérieur;ECE Bordeaux;;1136
1071;0333578K;Privé enseignement supérieur;ESTACA Bordeaux;;1136
1072;0333632U;Privé sous contrat d'association;Institut Catholique de Toulouse - Site de Bordeaux;;1136
1073;0340009A;Public;Lycée HENRI IV;;1232
1074;0340011C;Public;Lycée polyvalent Jean Moulin;;1232
1075;0340012D;Public;Lycée professionnel Jean Mermoz;;1232
1076;0340023R;Public;Lycée René Gosse;;483
1077;0340028W;Public;Lycée Joseph Vallot;;1142
1078;0340030Y;Public;Lycée Louis Feuillade;;1214
1079;0340038G;Public;Lycée Joffre;;110
1080;0340039H;Public;Lycée Georges Clemenceau;;110
1081;0340040J;Public;Lycée Jules Guesde;;110
1082;0340042L;Public;Lycée Jean Mermoz;;110
1083;0340043M;Public;Lycée des Métiers Pierre Mendès France;;110
1084;0340045P;Public;Lycée professionnel Jules Ferry;;110
1085;0340059E;Public;Lycée Jean Moulin;;763
1086;0340061G;Public;Lycée professionnel Charles Allies;;763
1087;0340076Y;Public;Lycée Irene et Frederic Joliot Curie;;272
1088;0340099Y;Public;Centre de Ressources, d'Expertise et de Performance Sportive de Montpellier (CREPS);;110
1089;0340128E;Public;Lycée agricole Frédéric BAZILLE - Agropolis (Classes Agri);;110
1090;0340132J;Public;Ecole Nationale Supérieure d'Architecture de Montpellier;;110
1091;0340137P;Privé enseignement supérieur;MBS;;110
1092;0340138R;Privé enseignement supérieur;Institut National des Formations Notariales de Montpellier;;110
1093;0340139S;Privé enseignement supérieur;INSTITUT PROTESTANT DE THEOLOGIE, FACULTE LIBRE DE MONTPELLIER;;110
1094;0340838B;Public;I.U.T de Montpellier-Sète - site de Montpellier - campus Occitanie;;110
1095;0340871M;Privé sous contrat d'association;Lycée La Trinite;;1232
1096;0340881Y;Privé sous contrat d'association;Lycée Notre Dame De La Merci;;110
1097;0340920R;Privé sous contrat d'association;Lycée professionnel Turgot;;110
1098;0340991T;Privé sous contrat d'association;Lycée Nevers;;110
1099;0340994W;Privé enseignement supérieur;IDELCA Business School;;99
1100;0341089Z;Public;Université Paul Valery - Montpellier 3;;110
1101;0341143H;Public;Polytech Montpellier;;110
1102;0341149P;Public;Unité de formation et de recherche de sciences pharmaceutiques et biologiques Université de Montpellier;;110
1103;0341150R;Public;Unité de formation et de recherche de médecine Université de Montpellier;;110
1104;0341267T;Privé enseignement supérieur;IDRAC Business School - Campus de MONTPELLIER;;110
1105;0341334R;Public;IFSI CHU Montpellier;;110
1106;0341335S;Public;IFSI CH Béziers;;1232
1107;0341336T;Public;IFSI du CH du Bassin de Thau;;272
1108;0341385W;Public;Lycée professionnel Leonard De Vinci;;110
1109;0341470N;Privé sous contrat d'association;Lycée Privé Agricole Vallée de l'Hérault;;47
1110;0341521U;Privé sous contrat d'association;Lycée St Joseph Pierre Rouge;;439
1111;0341523W;Privé sous contrat d'association;Lycée Saint-Joseph;;272
1112;0341543T;Public;IFMEM Institut de formation de manipulateur d'électroradiologie médicale;;110
1113;0341547X;Privé sous contrat d'association;Institut de formation en ergothérapie;;110
1114;0341549Z;Privé sous contrat d'association;IFSI- Hospit. Privée;;850
1115;0341573A;Public;MONTPELLIER CONTEMPORAIN Ecole Supérieure des Beaux -Arts;;110
1116;0341588S;Privé hors contrat;EPSI, Ecole privée en sciences informatiques;;110
1117;0341699M;Public;Lycée professionnel maritime Paul Bousquet;;272
1118;0341728U;Privé sous contrat d'association;Institut Régional du Travail Social de Montpellier;;110
1119;0341736C;Public;Lycée Jean Monnet;;110
1120;0341794R;Public;Lycée Jean-Francois Champollion;;119
1121;0341884N;Public;I.U.T de Béziers;;1232
1122;0341898D;Public;I.U.T de Montpellier-Sète - site de Sète - campus Poule d'Eau;;272
1123;0341921D;Public;Lycée Georges Pompidou;;850
1124;0341956S;Privé enseignement supérieur;CESI Campus de Montpellier (Mauguio);;864
1125;0342020L;Privé enseignement supérieur;IFSI CRIP - Réservé aux personnes en situation de handicap;;850
1126;0342066L;Public;Lycée Jean Jaurès;;299
1127;0342073U;Privé sous contrat d'association;Ecole Sup. IRTS Etudes Supérieures ESF;;110
1128;0342090M;Public;Lycée Victor Hugo;;1214
1129;0342091N;Public;Lycée polyvalent Marc BLOCH;;632
1130;0342129E;Privé hors contrat;ACFA multimédia;;110
1131;0342210T;Public;Université Paul Valery - Centre Universitaire Du Guesclin - Béziers;;1232
1132;0342225J;Public;Lycée Georges Frêche;;110
1133;0342277R;Privé enseignement supérieur;EPITECH - Campus de Montpellier;;110
1134;0342299P;Privé enseignement supérieur;EPF Montpellier;;110
1135;0342380C;Privé enseignement supérieur;TRAVELLING, École Supérieure du Cinéma et de la Télévision;;864
1136;0342490X;Public;Université de Montpellier;;110
1137;0342503L;Public;IUT Montpellier-Sète - site de Sète - Pôle Universitaire Michèle WEIL;;272
1138;0342583Y;Privé enseignement supérieur;ESILV - Montpellier;;110
1139;0342591G;Privé enseignement supérieur;ECOLE DE MANAGEMENT LEONARD DE VINCI;;110
1140;0350005R;Public;Lycée des Métiers - Hotelier et Restauration - Yvon Bourges;;1120
1141;0350011X;Public;Lycée Jean Guehenno;;839
1142;0350022J;Public;Lycée Beaumont;;292
1143;0350026N;Public;Lycée Jean Mace;;392
1144;0350028R;Public;Lycée Bréquigny;;392
1145;0350029S;Public;Lycée Joliot-Curie;;392
1146;0350030T;Public;Lycée Pierre Mendes France;;392
1147;0350031U;Public;Lycée professionnel Jean Jaures;;392
1148;0350032V;Public;Lycée des métiers Louis Guilloux;;392
1149;0350042F;Public;Lycée Maupertuis;;93
1150;0350048M;Public;Lycée Jacques Cartier;;93
1151;0350053T;Public;Lycée Bertrand D'Argentre;;1066
1152;0350068J;Public;Campus de l'excellence sportive de Bretagne;;1120
1153;0350077U;Public;CPI Rennes (ENS Chimie Rennes);;392
1154;0350089G;Public;Ecole Nationale Supérieure d'Architecture de Bretagne;;392
1155;0350092K;Public;Ecole nationale supérieure maritime (ENSM) - Centre de Saint-Malo;;93
1156;0350097R;Public;INSA Rennes;;392
1157;0350098S;Public;IFSI CHRU Rennes;;392
1158;0350697T;Public;I.U.T de Rennes;;392
1159;0350700W;Public;Lycée agricole Theodore Monod;;1203
1160;0350709F;Public;Lycée des métiers La Champagne;;1066
1161;0350710G;Public;Lycée Francois René De Chateaubriand;;392
1162;0350730D;Privé enseignement supérieur;ASKORIA;;392
1163;0350769W;Privé sous contrat d'association;Lycée Jean Baptiste Le Taillandier;;839
1164;0350774B;Privé sous contrat d'association;Lycée St Sauveur;;292
1165;0350776D;Privé sous contrat d'association;Lycée St Vincent-Providence;;392
1166;0350777E;Privé sous contrat d'association;Lycée St Martin;;392
1167;0350778F;Privé sous contrat d'association;Lycée ASSOMPTION;;392
1168;0350783L;Privé sous contrat d'association;Lycée Sainte Geneviève;;392
1169;0350791V;Privé sous contrat d'association;Lycée Marcel Callo;;292
1170;0350793X;Privé sous contrat d'association;Lycée Frédéric OZANAM;;915
1171;0350795Z;Privé sous contrat d'association;Lycée / Pôle Sup de La Salle - Groupe Saint Jean;;392
1172;0350797B;Privé sous contrat d'association;Lycée Jeanne d'Arc;;392
1173;0350807M;Privé sous contrat d'association;Lycée professionnel hôtelier Notre Dame;;635
1174;0350808N;Privé sous contrat d'association;Lycée Jeanne D'Arc;;1066
1175;0350918H;Privé sous contrat d'association;Lycée agricole LES VERGERS;;428
1176;0350937D;Public;Université de Rennes 2;;392
1177;0351047Y;Privé sous contrat d'association;The Land;;392
1178;0351576Y;Public;Unité de Formation et de Recherche des Sciences Médicales Université de Rennes (EPE);;392
1179;0351602B;Privé sous contrat d'association;Institut de formation en Pédicurie-Podologie de Rennes - Association IFPEK;;392
1180;0351603R;Privé enseignement supérieur;ASKORIA - site de Rennes;;392
1181;0351858E;Public;Institut de Formation de Manipulateurs d'Electroradiologie du CHU de Rennes (IFMEM);;392
1182;0351878B;Public;Lycée professionnel Coetlogon;;392
1183;0351890P;Public;IFSI CH Fougères;;889
1184;0351907H;Public;Lycée René Descartes;;392
1185;0351914R;Public;Lycée professionnel maritime Public;;93
1186;0351947B;Privé sous contrat d'association;Lycée Jean Baptiste Le Taillandier - site Edmond Michelet;;839
1187;0351958N;Privé sous contrat d'association;Lycée professionnel Agricole de Redon;;292
1188;0352009U;Public;Lycée Victor et Hélène BASCH;;392
1189;0352025L;Privé sous contrat d'association;MFREO de Fougères;;839
1190;0352048L;Privé enseignement supérieur;Institut de Formation en Ergothérapie de Rennes - Association IFPEK;;392
1191;0352072M;Privé sous contrat d'association;Institution St Malo-Providence;;93
1192;0352087D;Public;IFSI CH Guillaume Régnier;;392
1193;0352252H;Privé enseignement supérieur;ESRA - Rennes;;392
1194;0352305R;Privé enseignement supérieur;RENNES SCHOOL OF BUSINESS;;392
1195;0352317D;Public;Sciences Po Rennes – Institut d'études politiques;;392
1196;0352337A;Privé enseignement supérieur;ECAM Rennes;;794
1197;0352349N;Privé enseignement supérieur;Institut Catholique de Rennes;;794
1198;0352373P;Privé enseignement supérieur;UniLaSalle Rennes;;794
1199;0352379W;Public;I.U.T de Saint-Malo;;93
1200;0352446U;Privé sous contrat d'association;Lycée professionnel Sainte Thérèse;;736
1201;0352512R;Privé sous contrat d'association;CFTA;;701
1202;0352767T;Privé enseignement supérieur;Institut National des Formations Notariales (INFN) - SITE DE RENNES;;392
1203;0352771X;Public;Institut Agro Rennes-Angers (Campus de Rennes);;392
1204;0352786N;Public;Ecole Supérieure d'Ingénieurs de Rennes, Université de Rennes 1;;392
1205;0352824E;Privé enseignement supérieur;ISEN Ouest Rennes;;392
1206;0352850H;Privé enseignement supérieur;EPITECH - Campus de Rennes;;392
1207;0352854M;Public;Ecole Européenne Supérieure d'Art de Bretagne;;392
1208;0352909X;Privé enseignement supérieur;EPITA Rennes;;392
1209;0352983C;Privé hors contrat;CFA IRSS SPORT RENNES;;392
1210;0353065S;Privé enseignement supérieur;Ecole Ferrandi Paris Campus de Rennes;;392
1211;0353074B;Public;Université de Rennes (EPE);;392
1212;0353141Z;Public;IFSI CH Redon;;292
1213;0360009P;Public;Lycée Pierre Et Marie Curie;;755
1214;0360017Y;Public;Lycée agricole de l'Indre - Naturapolis;;755
1215;0360024F;Public;Lycée Balzac d'Alembert;;156
1216;0360043B;Public;Lycée Blaise Pascal;;755
1217;0360686A;Privé sous contrat d'association;Lycée agricole de Saint-Cyran-du-Jambot;;195
1218;0360689D;Public;IFSI CH Chateauroux Le Blanc;;755
1219;0360737F;Public;IFSI CH Le Blanc;;1076
1220;0360768P;Public;Université d'Orléans - Centre Univ. de Châteauroux;;755
1221;0360775X;Public;IUT de l'Indre;;156
1222;0360778A;Public;I.U.T de l'Indre;;755
1223;0370009J;Public;Lycée Francois Rabelais;;394
1224;0370035M;Public;Lycée Descartes;;873
1225;0370036N;Public;Lycée Balzac;;873
1226;0370037P;Public;Lycée Choiseul;;873
1227;0370038R;Public;Lycée Grandmont;;873
1228;0370039S;Public;Lycée Paul-Louis Courier;;873
1229;0370040T;Public;Lycée professionnel des métiers Albert Bayet;;873
1230;0370053G;Public;Lycée professionnel Gustave Eiffel;;873
1231;0370054H;Public;Lycée professionnel Martin Nadaud;;986
1232;0370074E;Privé sous contrat d'association;ITS;;873
1233;0370728R;Privé sous contrat d'association;Lycée Saint Medard Inst N-D La Riche;;873
1234;0370748M;Privé sous contrat d'association;Lycée Saint Gatien;;571
1235;0370749N;Privé sous contrat d'association;Campus Sainte Marguerite;;61
1236;0370770L;Public;I.U.T de Tours;;873
1237;0370781Y;Public;Lycée agricole de Tours-Fondettes AgroCampus;;425
1238;0370800U;Public;Université de Tours;;873
1239;0370878D;Public;EDUCAVERT - Lycée d'Amboise;;1026
1240;0370881G;Privé sous contrat d'association;Lycée Marmoutier;;873
1241;0370888P;Public;Lycée professionnel D Arsonval;;571
1242;0370987X;Public;Ecole supérieure d'art et de design TALM-Tours;;873
1243;0371082A;Public;UFR de Médecine;;873
1244;0371099U;Public;Lycée professionnel Henri Becquerel;;873
1245;0371196Z;Public;IFSI du CHU de TOURS;;61
1246;0371197A;Privé sous contrat d'association;IFSI Croix Rouge Française Chambray Les Tours;;61
1247;0371211R;Public;Lycée professionnel Beauregard;;143
1248;0371259T;Privé sous contrat d'association;LYCEE PROFESSIONNEL AGRICOLE PRIVE SAINTE JEANNE D ARC;;943
1249;0371347N;Public;IFSI CH Amboise;;1026
1250;0371395R;Privé sous contrat d'association;MFR d'Azay le Rideau;;1277
1251;0371417P;Public;Lycée Jean Monnet;;571
1252;0371418R;Public;Lycée Jacques De Vaucanson;;873
1253;0371470X;Public;INSTITUT DE FORMATION DE TECHNICIENS DE LABORATOIRE MÉDICAL (IFTLM) SITE IFPS DU CHRU DE TOURS;;61
1254;0371471Y;Privé sous contrat d'association;Croix-Rouge Competence Centre-Val de loire;;61
1255;0371532P;Privé sous contrat d'association;Lycée Esthétique de Touraine;;873
1256;0371558T;Public;INSTITUT DE FORMATION DE MANIPULATEURS D’ÉLECTRORADIOLOGIE MÉDICALE (IFMEM) SITE IFPS DU CHRU DE TOURS;;873
1257;0371610Z;Public;Polytech Tours;;873
1258;0371670P;Privé enseignement supérieur;Institut supérieur de formation de l'enseignement catholique (ISFEC) Saint Martin;;873
1259;0371790V;Privé enseignement supérieur;EXCELIA - Campus de Tours;;873
1260;0380008C;Public;Lycée L'Oiselet;;57
1261;0380018N;Privé sous contrat d'association;Lycée ISER-BORDIER;;1201
1262;0380027Y;Public;Lycée Champollion;;1201
1263;0380029A;Public;Lycée Les Eaux Claires;;1201
1264;0380032D;Public;Lycée polyvalent Emmanuel Mounier;;1201
1265;0380033E;Public;Lycée VAUCANSON;;1201
1266;0380034F;Public;Lycée Louise Michel;;1201
1267;0380035G;Public;Lycée des Métiers - Lesdiguieres;;1201
1268;0380081G;Public;Lycée Ella Fitzgerald St Romain en Gal;;420
1269;0380083J;Public;Lycée Galilee;;420
1270;0380089R;Public;Lycée Portes De L'Oisans;;214
1271;0380091T;Public;Lycée Edouard Herriot;;666
1272;0380092U;Public;Lycée Ferdinand Buisson;;666
1273;0380134P;Public;Sciences Po Grenoble - Institut d'études politiques;;495
1274;0380141X;Public;Ecole Nationale Supérieure d'Architecture de Grenoble;;1201
1275;0380144A;Public;Ecole Supérieure d'art et de design de Grenoble Valence;;1201
1276;0380272Z;Privé enseignement supérieur;EGC Business School de Villefontaine;;163
1277;0381513N;Public;Ecole des Pupilles de l'Air - lycée de la défense;;814
1278;0381516S;Public;IUT 1 GRENOBLE;;495
1279;0381516T;Public;IUT 1 GRENOBLE - ENEPS;;495
1280;0381522Y;Public;CREPS Rhône-Alpes - Site de Voiron;;666
1281;0381599G;Public;Lycée De L'Edit;;414
1282;0381603L;Public;Lycée Andre Argouges;;1201
1283;0381629P;Public;CNED;;1201
1284;0381666E;Privé sous contrat d'association;Lycée Pierre Termier;;1201
1285;0381678T;Privé sous contrat d'association;Lycée Robin;;420
1286;0381775Y;Public;I.U.T. 2 de Grenoble;;1201
1287;0381817U;Public;Lycée agricole Grenoble St-Ismier;;870
1288;0381819W;Public;Lycée agricole Agro-Environnemental;;160
1289;0381886U;Public;Lycée agricole SEYSSUEL AGROTEC;;420
1290;0382031B;Public;Lycée professionnel Thomas Edison;;918
1291;0382099A;Public;Lycée Roger Deschaux;;977
1292;0382170C;Privé sous contrat d'association;Lycée polyvalent SCHNEIDER ELECTRIC;;495
1293;0382203N;Public;Lycée Pablo Neruda;;495
1294;0382440W;Public;Lycée des Métiers - Léonard de Vinci;;163
1295;0382541F;Privé enseignement supérieur;OCELLIA Echirolles;;918
1296;0382664P;Public;IFSI CHU Grenoble Alpes;;495
1297;0382665R;Public;IFSI de Vienne;;420
1298;0382666S;Public;IFSI CH Oudot;;57
1299;0382669V;Public;ECOLE DE FORMATION SANITAIRE CENTRE HOSPITALIER;;1201
1300;0382778N;Privé enseignement supérieur;Grenoble Ecole de Management;;1201
1301;0382780R;Public;Lycée Aristides Berges;;1231
1302;0382838D;Public;Lycée La Pléiade;;1045
1303;0382852U;Privé sous contrat d'association;IFSI Croix Rouge Française Grenoble;;1201
1304;0382863F;Public;Lycée du Gresivaudan (LGM);;982
1305;0382881A;Public;Polytech Grenoble;;495
1306;0382895R;Public;Lycée Philibert Delorme;;981
1307;0382920T;Public;Lycée Marie Curie;;918
1308;0382938M;Privé sous contrat d'association;MFR Moirans - CFA FRMFREO;;624
1309;0383072H;Privé sous contrat d'association;Lycée Saint Marc;;902
1310;0383098L;Public;La Prépa des INP - Groupe INP - Grenoble;;495
1311;0383119J;Public;Lycée Pierre Béghin;;624
1312;0383120K;Public;I.U.T. 2 de Grenoble - site campus universitaire;;495
1313;0383121L;Public;I.U.T. 2 de Grenoble - site de Vienne;;420
1314;0383190L;Public;IFSI CH Alpes-Isère Saint-Egrève;;881
1315;0383208F;Privé sous contrat d'association;Lycée PHILIPPINE DUCHESNE ITEC BOISFLEURY;;1067
1316;0383384X;Privé enseignement supérieur;Bachelor IDRAC Business School - Campus de GRENOBLE;;495
1317;0383471S;Privé hors contrat;éklore-ed – CFA Grenoble – CCI Pau Béarn;;982
1318;0383546Y;Public;Université Grenoble Alpes;;495
