id;n3;n2;n4;n117;id_localisation
184;0071394C;Public;IFSI Sainte Marie Privas;;447
185;0071441D;Privé hors contrat;Ecole supérieure de santé CFAP;;834
186;0071445H;Public;Centre de Ressources, d’Expertise et de Performance Sportive d’Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS);;259
187;0071480W;Public;PASS Aubenas – Université Claude Bernard Lyon 1;;674
188;0080007P;Public;Lycée Sevigne;;418
189;0080008R;Public;Lycée François Bazin;;418
190;0080027L;Public;Lycée Monge;;418
191;0080028M;Public;Lycée professionnel Charles de Gonzague;;418
192;0080039Z;Public;Lycée Paul Verlaine;;492
193;0080045F;Public;Lycée Pierre Bayle;;193
194;0080047H;Public;Lycée professionnel des Métiers Jean-Baptiste Clément;;193
195;0080057U;Public;INSPE de Reims - Antenne de Charleville-Mézières;;418
196;0080804F;Public;Lycée agricole DE RETHEL;;492
197;0080863V;Public;Lycée agricole de Charleville le Balcon des Ardennes;;446
198;0080918E;Public;IFSI Charleville-Mezières;;418
199;0081047V;Public;Lycée Bazeilles;;217
200;0081084K;Public;IUT Reims-Châlons-Charleville site de Charleville;;418
201;0081149F;Public;EiSINe - Charleville-Mézières;;418
202;0081153K;Privé enseignement supérieur;SCBS - South Champagne Business School - Charleville-Mézières (Y SCHOOLS);;418
203;0090002D;Public;Lycée Gabriel Faure;;514
204;0090003E;Public;Lycée professionnel Jean Durroux;;461
205;0090006H;Public;Lycée professionnel Joseph Marie Jacquard;;616
206;0090013R;Public;Lycée de Mirepoix;;1092
207;0090015T;Public;Lycée polyvalent Pyrène;;1113
208;0090018W;Public;Lycée du Couserans;;1103
209;0090022A;Public;L.E.G.T.A. de Pamiers;;1113
210;0090559J;Public;IFSI CH Int Val Ariège;;1113
211;0090660U;Public;Université Toulouse 2 - Antenne de Foix;;514
212;0100004A;Public;Lycée professionnel VAL MORé (maintenance des matériels...);;1116
213;0100015M;Public;Lycée F. Et I. Joliot Curie;;1141
214;0100022V;Public;Lycée Chrestien de Troyes;;465
215;0100023W;Public;Lycée Marie De Champagne;;465
216;0100025Y;Public;Lycée Les Lombards;;465
217;0100059K;Privé sous contrat d'association;Lycée LA SALLE;;465
218;0100684P;Public;Iut De Troyes;;465
219;0100687T;Public;Lycée agricole Forestier de Crogny;;545
220;0100734U;Privé sous contrat d'association;Lycée agricole Sainte Maure;;607
221;0100735V;Public;Lycée agricole Charles Baltet;;401
222;0100744E;Privé enseignement supérieur;Ecole Supérieure de Design de Troyes;;465
223;0100852X;Public;IFSI Troyes;;465
224;0101016A;Public;Lycée Edouard Herriot;;973
225;0101037Y;Public;Campus des Comtes de champagne - URCA;;465
226;0101059X;Privé enseignement supérieur;SCBS - South Champagne Business School - Troyes (Y SCHOOLS);;465
227;0101060Y;Public;UTT Université de Technologie de Troyes;;465
228;0101117K;Privé enseignement supérieur;École Supérieure de Tourisme - Troyes (Y SCHOOLS);;465
229;0101131A;Privé enseignement supérieur;EPF Troyes;;1198
230;0101139J;Privé enseignement supérieur;ESTP - Campus de Troyes;;1198
231;0101156C;Public;Institut de formation en soins infirmiers antenne de Romilly-sur-Seine;;1141
232;0110004V;Public;Lycée Paul Sabatier;;789
233;0110007Y;Public;Lycée Jules Fil;;789
234;0110012D;Public;Lycée Polyvalent Germaine Tillion;;722
235;0110019L;Public;Lycée Jacques Ruffié;;721
236;0110022P;Public;Lycée Docteur Lacroix;;1186
237;0110023R;Public;Lycée polyvalent Louise Michel;;1186
238;0110045P;Privé sous contrat d'association;LYCEE POLYVALENT SAINT LOUIS - SITE SAINT STANISLAS;;789
239;0110669T;Public;Lycée agricole Charlemagne;;789
240;0110670U;Privé sous contrat d'association;Lycée Beausejour;;1186
241;0110815B;Public;IFSI CH de Carcassonne;;789
242;0110816C;Public;IFSI CH Narbonne;;1186
243;0110823K;Public;Lycée professionnel Charles Cros;;789
244;0110942P;Privé sous contrat d'association;CPFP La Rouatière;;1245
245;0110982H;Public;I.U.T de Perpignan (Site de Carcassonne);;789
246;0110983J;Public;I.U.T de Perpignan (Site de Narbonne);;1186
247;0110986M;Public;Université de Perpignan - Antenne de Narbonne;;1186
248;0111024D;Privé sous contrat d'association;Ecole Sup. La Raque;;391
249;0111043Z;Public;Université de Montpellier, Antenne de Carcassonne;;789
250;0111056N;Public;Ecole des beaux-arts de Carcassonne Agglo;;789
251;0120006S;Public;Lycée La Découverte;;506
252;0120012Y;Public;Lycée Jean Vigo;;150
253;0120022J;Public;Lycée Ferdinand Foch;;685
254;0120024L;Public;Lycée Alexis Monteil;;685
255;0120025M;Public;Lycée Jean Jaures;;844
256;0120031U;Public;Lycée Raymond Savignac;;1268
257;0120096P;Public;Lycée professionnel des métiers du bois et de l'habitat;;316
258;0120621K;Public;L.E.G.T.A. Villefranche de Rouergue;;1268
259;0120870F;Public;I.U.T de Rodez;;685
260;0120920K;Public;IFSI CH Millau;;150
261;0120936C;Privé sous contrat d'association;Site Villefr. de Rouergue du lycée François Marty;;1268
262;0120937D;Public;L.E.G.T.A. Rodez-La Roque;;473
263;0120938E;Public;L.P.A. La Cazotte;;844
264;0121235C;Public;IFSI CH Rodez;;685
265;0121291N;Privé sous contrat d'association;L.P.A.H de Rignac;;147
266;0121298W;Privé sous contrat d'association;École des Métiers de la Nature (MFR Valrance, 12380 St Sernin/Rance);;522
267;0121367W;Privé enseignement supérieur;EGC Rodez;;685
268;0121423G;Privé sous contrat d'association;Lycée Charles Carnus;;685
269;0121471J;Public;Institut national universitaire Champollion - Campus de Rodez;;685
270;0121516H;Privé enseignement supérieur;SPE FORMATION;;473
271;0130001F;Public;Lycée Emile Zola;;36
272;0130002G;Public;Lycée Paul Cezanne;;36
273;0130003H;Public;Lycée Vauvenargues;;36
274;0130006L;Public;Lycée professionnel Gambetta;;36
275;0130010R;Public;Lycée Montmajour;;1174
276;0130011S;Public;Lycée Pasquet;;1174
277;0130036U;Public;Lycée Perier;;107
278;0130037V;Public;Lycée Marcel Pagnol;;35
279;0130038W;Public;Lycée Marseilleveyre;;107
280;0130039X;Public;Lycée Saint Charles;;49
281;0130040Y;Public;Lycée Thiers;;49
282;0130043B;Public;Lycée Victor Hugo;;799
283;0130048G;Public;Lycée Saint Exupery;;861
284;0130049H;Public;Lycée Rempart (Rue Du);;531
285;0130050J;Public;Lycée Denis Diderot;;927
286;0130051K;Public;Lycée Marie Curie;;842
287;0130053M;Public;Lycée Jean Perrin;;35
