id;n10;n11;n12;n13;n14;n15;n16
2169;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Eurasie - Pashto;formation non sélective;Licence;INALCO - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Eurasie - Pashto;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Eurasie - Pashto
2170;BTS - Production - Bioanalyses en laboratoire de contrôle;formation sélective;BTS;Lycée Aux Lazaristes La Salle Croix Rousse - BTS - Production - Bioanalyses en laboratoire de contrôle;BTS - Production;Bioanalyses en laboratoire de contrôle;
2171;Licence - Portail Langues, littératures et civilisations étrangères et régionales - Anglais;formation non sélective;Licence;Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) - Licence - Portail Langues, littératures et civilisations étrangères et régionales - Anglais;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Anglais - Communication
2172;Licence - Histoire;formation non sélective;Licence;Université de Corte - Licence - Histoire;Licence - Sciences humaines et sociales;Histoire;
2173;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée Jean Jaures - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
2174;BUT - Management de la Logistique et des Transports;formation sélective;BUT;IUT GRAND OUEST NORMANDIE - Pôle d'Alençon - BUT - Management de la Logistique et des Transports;BUT - Service;Management de la Logistique et des Transports;
2175;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;formation sélective;BTS;Lycée Charles et Adrien Dupuy - BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;BTS - Services;Métiers de l'audio-visuel opt : métiers de l'image;
2176;CPGE - ECG;formation sélective;CPGE;Lycée St Vincent-Providence - CPGE - ECG;Classe préparatoire économique et commerciale;ECG - Mathématiques appliquées + ESH;
2177;Licence - Sciences de l'éducation et de la formation - Parcours Préparatoire au Professorat des Ecoles (PPPE);formation non sélective;Licence;CY Cergy Paris Université - INSPÉ de l’académie de Versailles - Licence - Sciences de l'éducation et de la formation - Parcours Préparatoire au Professorat des Ecoles (PPPE);Licence - Sciences humaines et sociales;Sciences de l'éducation et de la formation;Préparatoire au Professorat des Ecoles (PPPE)
2178;BTS - Agricole - Métiers de l'élevage: développement, production et conseil;formation sélective;BTS;MFREO de Mornand en Forez - BTS - Agricole - Métiers de l'élevage: développement, production et conseil;BTS - Agricole;Métiers de l'élevage: développement, production et conseil;
2179;DTS Imagerie médicale et radiologie thérapeutique;formation sélective;Autre formation;Lycée Pierre-Gilles de Gennes - ENCPB - DTS Imagerie médicale et radiologie thérapeutique;D.E secteur sanitaire;DTS Imagerie médicale et radiologie thérapeutique;
2180;BTS - Production - Aéronautique;formation sélective;BTS;Lycée professionnel Roger Claustres - BTS - Production - Aéronautique;BTS - Production;Aéronautique;
2181;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Catherine et Raymond JANOT - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
2182;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);formation sélective;BTS;Lycée Etienne Oehmichen - BTS - Production - Conception des processus de réalisation de produits (1ère année commune);BTS - Production;Conception des processus de réalisation de produits (1ère année commune);
2183;BUT - Génie industriel et maintenance;formation sélective;BUT;I.U.T. Thionville-Yutz - Université de Lorraine - BUT - Génie industriel et maintenance;BUT - Production;Génie industriel et maintenance;
2184;Formation d'ingénieur Bac + 5 - bac STL;formation sélective;Ecole d'Ingénieur;ECAM-HEI-ISEN-ISEP cycle préparatoire Metz-Jean XXIII - Formation d'ingénieur Bac + 5 - bac STL;Formations  des écoles d'ingénieurs;Formation d'ingénieur Bac + 5;bac STL
2185;Licence - Portail Droit;formation non sélective;Licence;Université Clermont Auvergne - Licence - Portail Droit;Licence - Droit-économie-gestion;Droit;
2186;BTS - Production - Conception et Réalisation de Systèmes Automatiques;formation sélective;BTS;Lycée Franklin Roosevelt - BTS - Production - Conception et Réalisation de Systèmes Automatiques;BTS - Production;Conception et Réalisation de Systèmes Automatiques;
2187;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;formation sélective;BTS;Lycée Leonard de Vinci - BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;BTS - Services;Métiers de l'audio-visuel opt : métiers de l'image;
2189;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée Langevin-Wallon - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
2190;Licence - Portail Mathématiques - Mathématiques Informatique option Renforcé Recherche;formation sélective;Licence;Université de Lille - Licence - Portail Mathématiques - Mathématiques Informatique option Renforcé Recherche;Licence - Sciences - technologies - santé;Mathématiques;Mathématiques Informatique option Renforcé Recherche
2191;BTS - Production - Maintenance des systèmes - option A Systèmes de production;formation sélective;BTS;Lycée international Robert Badinter - BTS - Production - Maintenance des systèmes - option A Systèmes de production;BTS - Production;Maintenance des systèmes - option A Systèmes de production;
2192;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée professionnel Parc Saint Jean - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
2193;D.E Assistant de Service Social;formation sélective;EFTS;Ecole supérieure européenne de l'intervention sociale - D.E Assistant de Service Social;D.E secteur social;D.E Assistant de Service Social;
2194;BTS - Production - Maintenance des matériels de construction et de manutention;formation sélective;BTS;Lycée professionnel Gustave Eiffel - BTS - Production - Maintenance des matériels de construction et de manutention;BTS - Production;Maintenance des matériels de construction et de manutention;
2195;Licence - Portail Sciences pour la santé;formation sélective;Licence_Las;Université de Lille - Licence - Portail Sciences pour la santé;Licence - Sciences - technologies - santé;Sciences pour la santé;
2196;BTS - Services - Commerce International;formation sélective;BTS;Lycée Notre Dame De La Paix - BTS - Services - Commerce International;BTS - Services;Commerce International;
2197;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;formation sélective;BTS;Lycée privé du Campus La Mouillère - BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;BTS - Agricole;Technico-commercial - Spécialité univers jardins et animaux de compagnie;
2198;Certificat de Spécialisation - Technicien(ne) en soudage;formation sélective;Autre formation;Lycée Jean Mace - Certificat de Spécialisation - Technicien(ne) en soudage;Certificat de Spécialisation;Technicien(ne) en soudage;
2199;BTS - Services - Commerce International;formation sélective;BTS;Lycée N-D DU KREISKER - BTS - Services - Commerce International;BTS - Services;Commerce International;
2200;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Dumont d'Urville - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
2201;CPGE - Lettres;formation sélective;CPGE;Lycée Albert Schweitzer - CPGE - Lettres;Classe préparatoire littéraire;Lettres;
2202;BTS - Services - Tourisme;formation sélective;BTS;Campus Sacré-Coeur La Salle  - BTS - Services - Tourisme;BTS - Services;Tourisme;
2203;Licence - Portail Humanités - science politique;formation sélective;Licence;Ircom Angers - Licence - Portail Humanités - science politique;Licence - Sciences humaines et sociales;Humanités;science politique
2204;D.E Infirmier;formation sélective;IFSI;Regroupement IFSI Université Paris Cité - D.E Infirmier;D.E secteur sanitaire;D.E Infirmier;rentrée en septembre
2205;BTS - Services - Gestion de la PME;formation sélective;BTS;IPAG Business School - Campus de Paris - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
2206;BTS - Services - Tourisme;formation sélective;BTS;Lycée Anna de Noailles - BTS - Services - Tourisme;BTS - Services;Tourisme;
2207;Certificat de Spécialisation - Technicien(ne) en soudage;formation sélective;Autre formation;Lycée professionnel Jean Monnet - Certificat de Spécialisation - Technicien(ne) en soudage;Certificat de Spécialisation;Technicien(ne) en soudage;
2208;Cycle pluridisciplinaire d'Études Supérieures - Sciences - Environnement - Société;formation sélective;Autre formation;Université de Rennes (EPE) - Cycle pluridisciplinaire d'Études Supérieures - Sciences - Environnement - Société;CPES;Cycle pluridisciplinaire d'Études Supérieures - Sciences - Environnement - Société;
2209;Certificat de Spécialisation - Assistance, conseil, vente à distance;formation sélective;Autre formation;EREA Saint Exupéry - Certificat de Spécialisation - Assistance, conseil, vente à distance;Certificat de Spécialisation;Assistance, conseil, vente à distance;
2210;BTS - Production - Bioqualité;formation sélective;BTS;Lycée Jean Rostand - BTS - Production - Bioqualité;BTS - Production;Bioqualité;
2211;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Espagnol;formation non sélective;Licence;Université Savoie Mont Blanc - Chambéry - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Espagnol;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;LLCER Espagnol
2212;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Anglais;formation non sélective;Licence;Université de Poitiers - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Anglais;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Anglais
2213;Licence - Langues étrangères appliquées - Parcours Anglais-Portugais;formation non sélective;Licence;Université Jean Moulin Lyon 3 - Licence - Langues étrangères appliquées - Parcours Anglais-Portugais;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais-Portugais
2214;Licence - Lettres - Parcours  Théâtre;formation sélective;Licence;Université de Perpignan Via Domitia - Licence - Lettres - Parcours  Théâtre;Licence - Arts-lettres-langues;Lettres;Théâtre
2215;Licence - Economie et gestion;formation non sélective;Licence;Université Lumière - Lyon 2 - Licence - Economie et gestion;Licence - Droit-économie-gestion;Economie et gestion;Economie et gestion - Sociologie
2216;Licence - Portail Droit -  classique;formation non sélective;Licence;Université d'Artois - Site de Douai - Licence - Portail Droit -  classique;Licence - Droit-économie-gestion;Droit;Parcours renforcé Science politique
2217;BUT - Techniques de commercialisation;formation sélective;BUT;IUT de Kourou - Campus de TROUBIRAN à Cayenne - BUT - Techniques de commercialisation;BUT - Service;Techniques de commercialisation;
2218;BUT - Mesures physiques;formation sélective;BUT;I.U.T. de Créteil-Vitry - Site de Créteil- UPEC - BUT - Mesures physiques;BUT - Production;Mesures physiques;
2219;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;formation sélective;BTS;Lycée Galilée - BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;BTS - Production;Fluide, énergie, domotique - option A génie climatique et fluidique;
2220;BTS - Production - Conception de produits industriels;formation sélective;BTS;Lycée Henri Loritz - BTS - Production - Conception de produits industriels;BTS - Production;Conception de produits industriels;
2221;Licence - Langues étrangères appliquées - Parcours LEA Anglais, Chinois;formation non sélective;Licence;Université de Brest - Licence - Langues étrangères appliquées - Parcours LEA Anglais, Chinois;Licence - Arts-lettres-langues;Langues étrangères appliquées;LEA Anglais, Chinois
2222;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée La Sagesse - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
2223;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;formation sélective;BTS;Lycée Cesar Baggio - BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;BTS - Production;Fluide, énergie, domotique - option C domotique et bâtiment communicants;
2224;Licence - Arts - Parcours pratique musique;formation sélective;Licence;Université de Brest - Licence - Arts - Parcours pratique musique;Licence - Arts-lettres-langues;Arts;pratique musique
